"Time stamp","Value","Events","Comment","User"
"2022/03/06 03:30:00","12 706 321,97","","",""
"2022/03/06 03:00:00","12 706 102,97","","",""
"2022/03/06 02:30:00","12 705 884,53","","",""
"2022/03/06 02:00:00","12 705 665,60","","",""
"2022/03/06 01:30:00","12 705 447,24","","",""
"2022/03/06 01:00:00","12 705 228,59","","",""
"2022/03/06 00:30:00","12 705 009,06","","",""
"2022/03/06 00:00:00","12 704 790,60","","",""
"2022/03/05 23:30:00","12 704 571,81","","",""
"2022/03/05 23:00:00","12 704 352,44","","",""
"2022/03/05 22:30:00","12 704 133,46","","",""
"2022/03/05 22:00:00","12 703 913,93","","",""
"2022/03/05 21:30:00","12 703 694,64","","",""
"2022/03/05 21:00:00","12 703 475,21","","",""
"2022/03/05 20:30:00","12 703 255,34","","",""
"2022/03/05 20:00:00","12 703 036,55","","",""
"2022/03/05 19:30:00","12 702 816,77","","",""
"2022/03/05 19:00:00","12 702 597,42","","",""
"2022/03/05 18:30:00","12 702 378,07","","",""
"2022/03/05 18:00:00","12 702 158,64","","",""
"2022/03/05 17:30:00","12 701 939,57","","",""
"2022/03/05 17:00:00","12 701 720,68","","",""
"2022/03/05 16:30:00","12 701 502,16","","",""
"2022/03/05 16:00:00","12 701 282,99","","",""
"2022/03/05 15:30:00","12 701 065,20","","",""
"2022/03/05 15:00:00","12 700 845,83","","",""
"2022/03/05 14:30:00","12 700 627,08","","",""
"2022/03/05 14:00:00","12 700 408,29","","",""
"2022/03/05 13:30:00","12 700 189,02","","",""
"2022/03/05 13:00:00","12 699 969,85","","",""
"2022/03/05 12:30:00","12 699 750,68","","",""
"2022/03/05 12:00:00","12 699 531,82","","",""
"2022/03/05 11:30:00","12 699 313,07","","",""
"2022/03/05 11:00:00","12 699 093,01","","",""
"2022/03/05 10:30:00","12 698 873,85","","",""
"2022/03/05 10:00:00","12 698 655,27","","",""
"2022/03/05 09:30:00","12 698 435,81","","",""
"2022/03/05 09:00:00","12 698 216,90","","",""
"2022/03/05 08:30:00","12 697 998,16","","",""
"2022/03/05 08:00:00","12 697 779,04","","",""
"2022/03/05 07:30:00","12 697 560,32","","",""
"2022/03/05 07:00:00","12 697 341,73","","",""
"2022/03/05 06:30:00","12 697 123,19","","",""
"2022/03/05 06:00:00","12 696 904,85","","",""
"2022/03/05 05:30:00","12 696 687,28","","",""
"2022/03/05 05:00:00","12 696 468,89","","",""
"2022/03/05 04:30:00","12 696 250,43","","",""
"2022/03/05 04:00:00","12 696 032,18","","",""
"2022/03/05 03:30:00","12 695 814,76","","",""
"2022/03/05 03:00:00","12 695 595,46","","",""
"2022/03/05 02:30:00","12 695 377,50","","",""
"2022/03/05 02:00:00","12 695 159,17","","",""
"2022/03/05 01:30:00","12 694 941,47","","",""
"2022/03/05 01:00:00","12 694 722,73","","",""
"2022/03/05 00:30:00","12 694 504,62","","",""
"2022/03/05 00:00:00","12 694 285,62","","",""
"2022/03/04 23:30:00","12 694 068,32","","",""
"2022/03/04 23:00:00","12 693 848,07","","",""
"2022/03/04 22:30:00","12 693 629,68","","",""
"2022/03/04 22:00:00","12 693 410,62","","",""
"2022/03/04 21:30:00","12 693 191,09","","",""
"2022/03/04 21:00:00","12 692 971,77","","",""
"2022/03/04 20:30:00","12 692 753,02","","",""
"2022/03/04 20:00:00","12 692 533,72","","",""
"2022/03/04 19:30:00","12 692 313,74","","",""
"2022/03/04 19:00:00","12 692 094,75","","",""
"2022/03/04 18:30:00","12 691 875,62","","",""
"2022/03/04 18:00:00","12 691 656,87","","",""
"2022/03/04 17:30:00","12 691 437,48","","",""
"2022/03/04 17:00:00","12 691 218,40","","",""
"2022/03/04 16:30:00","12 690 999,40","","",""
"2022/03/04 16:00:00","12 690 780,17","","",""
"2022/03/04 15:30:00","12 690 561,35","","",""
"2022/03/04 15:00:00","12 690 342,30","","",""
"2022/03/04 14:30:00","12 690 123,44","","",""
"2022/03/04 14:00:00","12 689 903,80","","",""
"2022/03/04 13:30:00","12 689 685,43","","",""
"2022/03/04 13:00:00","12 689 467,05","","",""
"2022/03/04 12:30:00","12 689 248,57","","",""
"2022/03/04 12:00:00","12 689 029,60","","",""
"2022/03/04 11:30:00","12 688 810,33","","",""
"2022/03/04 11:00:00","12 688 590,85","","",""
"2022/03/04 10:30:00","12 688 371,87","","",""
"2022/03/04 10:00:00","12 688 153,01","","",""
"2022/03/04 09:30:00","12 687 934,18","","",""
"2022/03/04 09:00:00","12 687 715,01","","",""
"2022/03/04 08:30:00","12 687 496,47","","",""
"2022/03/04 08:00:00","12 687 278,77","","",""
"2022/03/04 07:30:00","12 687 060,42","","",""
"2022/03/04 07:00:00","12 686 843,33","","",""
"2022/03/04 06:30:00","12 686 625,04","","",""
"2022/03/04 06:00:00","12 686 407,96","","",""
"2022/03/04 05:30:00","12 686 190,48","","",""
"2022/03/04 05:00:00","12 685 973,62","","",""
"2022/03/04 04:30:00","12 685 757,13","","",""
"2022/03/04 04:00:00","12 685 539,80","","",""
"2022/03/04 03:30:00","12 685 322,51","","",""
"2022/03/04 03:00:00","12 685 104,62","","",""
"2022/03/04 02:30:00","12 684 887,42","","",""
"2022/03/04 02:00:00","12 684 670,40","","",""
"2022/03/04 01:30:00","12 684 452,51","","",""
"2022/03/04 01:00:00","12 684 235,15","","",""
"2022/03/04 00:30:00","12 684 017,02","","",""
"2022/03/04 00:00:00","12 683 798,90","","",""
"2022/03/03 23:30:00","12 683 580,83","","",""
