Column1,Name,Full Name,TEM,Type,Energy Flow
85,JB2_TEM5_Gen_E_Supply,JB2_TEM5.JB2_TEM5_Gen_E_Supply#Real Energy Into the Load#kWh,Loop 1,Generator,Incoming
86,JB2_TEM5_HVAC_System_A,JB2_TEM5.JB2_TEM5_HVAC_System_A#Real Energy Into the Load#kWh,Loop 1,HVAC,Outgoing
87,JB2_TEM5_HVAC_System_B,JB2_TEM5.JB2_TEM5_HVAC_System_B#Real Energy Into the Load#kWh,Loop 1,HVAC,Outgoing
88,JB2_TEM5_HVAC_System_C,JB2_TEM5.JB2_TEM5_HVAC_System_C#Real Energy Into the Load#kWh,Loop 1,HVAC,Outgoing
89,JB2_TEM5_HVAC_System_D,JB2_TEM5.JB2_TEM5_HVAC_System_D#Real Energy Into the Load#kWh,Loop 1,HVAC,Outgoing
90,JB2_TEM5_HVAC_System_E,JB2_TEM5.JB2_TEM5_HVAC_System_E#Real Energy Into the Load#kWh,Loop 1,HVAC,Outgoing
91,JB2_TEM5_Main_Incomer_LVSP_1,JB2_TEM5.JB2_TEM5_Main_Incomer_LVSP_1#Real Energy Into the Load#kWh,Loop 1,Mains,Incoming
92,JB2_TEM5_Main_Incomer_LVSP_2,JB2_TEM5.JB2_TEM5_Main_Incomer_LVSP_2#Real Energy Into the Load#kWh,Loop 1,Mains,Incoming
93,JB2_TEM5_Main_Incomer_LVSP_3,JB2_TEM5.JB2_TEM5_Main_Incomer_LVSP_3#Real Energy Into the Load#kWh,Loop 1,Mains,Incoming
99,JB2_TEM5_UPS_System_A,JB2_TEM5.JB2_TEM5_UPS_System_A#Real Energy Into the Load#kWh,Loop 1,UPS,Outgoing
100,JB2_TEM5_UPS_System_B,JB2_TEM5.JB2_TEM5_UPS_System_B#Real Energy Into the Load#kWh,Loop 1,UPS,Outgoing
101,JB2_TEM5_UPS_System_C,JB2_TEM5.JB2_TEM5_UPS_System_C#Real Energy Into the Load#kWh,Loop 1,UPS,Outgoing
102,JB2_TEM5_UPS_System_D,JB2_TEM5.JB2_TEM5_UPS_System_D#Real Energy Into the Load#kWh,Loop 1,UPS,Outgoing
103,JB2_TEM5_UPS_System_E,JB2_TEM5.JB2_TEM5_UPS_System_E#Real Energy Into the Load#kWh,Loop 1,UPS,Outgoing
