,Name,Full Name,TEM,Type,Energy Flow
43,J_TEM_5_GCL_UPS_System_C,JB1_TEM5.J_TEM_5_GCL_UPS_System_C#Real Energy Into the Load#kWh,TEM5,UPS,Outgoing
44,J_TEM_5_Gen_A_Supply,JB1_TEM5.J_TEM_5_Gen_A_Supply#Real Energy Into the Load#kWh,TEM5,Generator,Incoming
45,J_TEM_5_Gen_B_Supply,JB1_TEM5.J_TEM_5_Gen_B_Supply#Real Energy Into the Load#kWh,TEM5,Generator,Incoming
46,J_TEM_5_Gen_C_Supply,JB1_TEM5.J_TEM_5_Gen_C_Supply#Real Energy Into the Load#kWh,TEM5,Generator,Incoming
47,J_TEM_5_HVAC_Ssystem_A,JB1_TEM5.J_TEM_5_HVAC_Ssystem_A#Real Energy Into the Load#kWh,TEM5,HVAC,Outgoing
48,J_TEM_5_HVAC_System_B,JB1_TEM5.J_TEM_5_HVAC_System_B#Real Energy Into the Load#kWh,TEM5,HVAC,Outgoing
49,J_TEM_5_HVAC_System_C,JB1_TEM5.J_TEM_5_HVAC_System_C#Real Energy Into the Load#kWh,TEM5,HVAC,Outgoing
50,J_TEM_5_Main_Incomer_LSVP,JB1_TEM5.J_TEM_5_Main_Incomer_LSVP#Real Energy Into the Load#kWh,TEM5,Mains,Incoming
51,J_TEM_5_MLV_A,JB1_TEM5.J_TEM_5_MLV_A#Real Energy Into the Load#kWh,TEM5,Mains,Incoming
52,J_TEM_5_MLV_B,JB1_TEM5.J_TEM_5_MLV_B#Real Energy Into the Load#kWh,TEM5,Mains,Incoming
53,J_TEM_5_MLV_C,JB1_TEM5.J_TEM_5_MLV_C#Real Energy Into the Load#kWh,TEM5,Mains,Incoming
54,J_TEM_5A_UPS_System_A,JB1_TEM5.J_TEM_5A_UPS_System_A#Real Energy Into the Load#kWh,TEM5,UPS,Outgoing
55,J_TEM_5B_UPS_System_B,JB1_TEM5.J_TEM_5B_UPS_System_B#Real Energy Into the Load#kWh,TEM5,UPS,Outgoing
56,J_TEM_5C_UPS_System_C,JB1_TEM5.J_TEM_5C_UPS_System_C#Real Energy Into the Load#kWh,TEM5,UPS,Outgoing
57,J_TEM5_GCL_UPS_System_A,JB1_TEM5.J_TEM5_GCL_UPS_System_A#Real Energy Into the Load#kWh,TEM5,UPS,Outgoing
58,J_TEM_6_Generator_A_Supply,JB1_TEM6.J_TEM_6_Generator_A_Supply#Real Energy Into the Load#kWh,TEM6,Generator,Incoming
59,J_TEM_6_Generator_B_Supply,JB1_TEM6.J_TEM_6_Generator_B_Supply#Real Energy Into the Load#kWh,TEM6,Generator,Incoming
60,J_TEM_6_Generator_C_Supply,JB1_TEM6.J_TEM_6_Generator_C_Supply#Real Energy Into the Load#kWh,TEM6,Generator,Incoming
61,J_TEM_6_HVAC_System_A,JB1_TEM6.J_TEM_6_HVAC_System_A#Real Energy Into the Load#kWh,TEM6,HVAC,Outgoing
62,J_TEM_6_HVAC_System_B,JB1_TEM6.J_TEM_6_HVAC_System_B#Real Energy Into the Load#kWh,TEM6,HVAC,Outgoing
63,J_TEM_6_HVAC_System_C,JB1_TEM6.J_TEM_6_HVAC_System_C#Real Energy Into the Load#kWh,TEM6,HVAC,Outgoing
64,J_TEM_6_Main_Incomer_HT,JB1_TEM6.J_TEM_6_Main_Incomer_HT#Real Energy Into the Load#kWh,TEM6,Mains,Incoming
65,J_TEM_6_Mechanical_UPS_A,JB1_TEM6.J_TEM_6_Mechanical_UPS_A#Real Energy Into the Load#kWh,TEM6,UPS,Outgoing
66,J_TEM_6_Mechanical_UPS_B,JB1_TEM6.J_TEM_6_Mechanical_UPS_B#Real Energy Into the Load#kWh,TEM6,UPS,Outgoing
67,J_TEM_6_Mechanical_UPS_C,JB1_TEM6.J_TEM_6_Mechanical_UPS_C#Real Energy Into the Load#kWh,TEM6,UPS,Outgoing
68,J_TEM_6_MLV_A,JB1_TEM6.J_TEM_6_MLV_A#Real Energy Into the Load#kWh,TEM6,Mains,Incoming
69,J_TEM_6_MLV_B,JB1_TEM6.J_TEM_6_MLV_B#Real Energy Into the Load#kWh,TEM6,Mains,Incoming
70,J_TEM_6_MLV_C,JB1_TEM6.J_TEM_6_MLV_C#Real Energy Into the Load#kWh,TEM6,Mains,Incoming
71,J_TEM_6_UPS_System_A,JB1_TEM6.J_TEM_6_UPS_System_A#Real Energy Into the Load#kWh,TEM6,UPS,Outgoing
72,J_TEM_6_UPS_System_B,JB1_TEM6.J_TEM_6_UPS_System_B#Real Energy Into the Load#kWh,TEM6,UPS,Outgoing
73,J_TEM_6_UPS_System_C,JB1_TEM6.J_TEM_6_UPS_System_C#Real Energy Into the Load#kWh,TEM6,UPS,Outgoing
74,J_TEM_7_CCL_UPS_A,JB1_TEM7.J_TEM_7_CCL_UPS_A#Real Energy Into the Load#kWh,TEM7,UPS,Outgoing
75,J_TEM_7_CCL_UPS_B,JB1_TEM7.J_TEM_7_CCL_UPS_B#Real Energy Into the Load#kWh,TEM7,UPS,Outgoing
76,J_TEM_7_CCL_UPS_C,JB1_TEM7.J_TEM_7_CCL_UPS_C#Real Energy Into the Load#kWh,TEM7,UPS,Outgoing
77,J_TEM_7_GCL_UPS_A,JB1_TEM7.J_TEM_7_GCL_UPS_A#Real Energy Into the Load#kWh,TEM7,UPS,Outgoing
78,J_TEM_7_GCL_UPS_B,JB1_TEM7.J_TEM_7_GCL_UPS_B#Real Energy Into the Load#kWh,TEM7,UPS,Outgoing
79,J_TEM_7_GCL_UPS_C,JB1_TEM7.J_TEM_7_GCL_UPS_C#Real Energy Into the Load#kWh,TEM7,UPS,Outgoing
80,J_TEM_7_Generator_A_Supply,JB1_TEM7.J_TEM_7_Generator_A_Supply#Real Energy Into the Load#kWh,TEM7,Generator,Incoming
81,J_TEM_7_Generator_B_Supply,JB1_TEM7.J_TEM_7_Generator_B_Supply#Real Energy Into the Load#kWh,TEM7,Generator,Incoming
82,J_TEM_7_Generator_C_Supply,JB1_TEM7.J_TEM_7_Generator_C_Supply#Real Energy Into the Load#kWh,TEM7,Generator,Incoming
83,J_TEM_7_HVAC_B,JB1_TEM7.J_TEM_7_HVAC_B#Real Energy Into the Load#kWh,TEM7,HVAC,Outgoing
84,J_TEM_7_HVAC_C,JB1_TEM7.J_TEM_7_HVAC_C#Real Energy Into the Load#kWh,TEM7,HVAC,Outgoing
85,J_TEM_7_Hvac_System_A,JB1_TEM7.J_TEM_7_Hvac_System_A#Real Energy Into the Load#kWh,TEM7,Mains,Incoming
86,J_TEM_7_Main_Incomer_HT,JB1_TEM7.J_TEM_7_Main_Incomer_HT#Real Energy Into the Load#kWh,TEM7,Mains,Incoming
87,J_TEM_7_MLV_A,JB1_TEM7.J_TEM_7_MLV_A#Real Energy Into the Load#kWh,TEM7,Mains,Incoming
88,J_TEM_7_MLV_B,JB1_TEM7.J_TEM_7_MLV_B#Real Energy Into the Load#kWh,TEM7,Mains,Incoming
89,J_TEM_7_MLV_C,JB1_TEM7.J_TEM_7_MLV_C#Real Energy Into the Load#kWh,TEM7,Mains,Incoming
